|r|English|French|Italian|German|Spanish|Korean|Japanese|
|MISSION_DESCRIPTION_3|Our clan's killing technique is honed to a fine art; obtain rewards for every kill that honors our tradition. Perfect it and you will be supplied with more powerful weapons.|Notre clan a perfectionné sa technique de chasse jusqu'à en faire un art. Obtenez des récompenses pour chaque mise à mort de proie qui honore notre tradition, et vous pourrez utiliser des armes plus puissantes.|La tecnica mortale del nostro clan è considerata un'arte; ottieni conseguimenti per ogni uccisione che onora la nostra tradizione. Perfezionati in modo da utilizzare delle armi più potenti.|Die Tötungsrechnik unsers Clans wurde perfektioniert; für jede Tötung, die unser Tradtition gerecht wird, bekommst du eine Belohnung. Werde perfekt und du erhältst noch stärkere Waffen.|Nuestro clan ha convertido su técnica de matar en un arte; obtén recompensas por cada muerte que honre a nuestra tradición. Perfecciónalo y se te suministrarán armas más potentes.|우리 일족의 살인 기술은 순수 예술을 연마되고 모든 죽일 명예는 우리의 전통에 대한 보상을 얻을 수 있습니다. 그것을 완벽하고 더 강력한 무기와 함께 제공됩니다.|我々の一族の殺害技術は美術に磨かれ、すべてのキルその名誉は私たちの伝統のために報酬を得る。それを完璧に、あなたは、より強力な武器が付属されます。|
|MISSION_DESCRIPTION_30|Our Clan leader has been captured and he's at the mercy of our enemies. Protect him from their relentless assault.|Notre chef de clan a été capturé et à la merci de nos ennemis. Protégez-le des attaques incessantes.|Il leader del nostro clan è stato catturato ed è alla mercé dei nostri nemici. Proteggilo dal loro attacco incessante.|Unser Clanführer wurde entführt und ist der Gnade unserer Feinden ausgeliefert. Beschütze ihn vor ihrem unbarmherzigen Überfall.|El lider de nuestro clan ha sido capturado y está a merced de nuestros enemigos. Protéjele de su ataque implacable.|우리 클랜 리더 캡처 그는 우리의 원수의 자비에있어왔다. 그들의 끊임없는 공격으로부터 그를 보호.|当社のクランリーダーがキャプチャされ、彼は我々の敵のなすがままにされています。彼らの執拗な攻撃から彼を守る。|
|MISSION_DESCRIPTION_31|You have withstood the storm and our Clan leader  has now witnessed your skill and courage. Only you are now able to step up and defeat our Nemesis - The Super Black Predator.|Vous vous êtes bien battu et notre chef de clan a reconnu votre courage et vos qualités.  Vous êtes le seul à pouvoir vaincre notre pire ennemi : Mr. Black|Has resistido a la tormenta y nuestro lider ha sigo testigo de tu habilidad y tu coraje. Ahora sólo tú eres capaz de defender nuestro Nemesis- El predator Super Black|Du hast dem Ansturm getrotzt und unser Clanführer konnte sich von deinen Fähigkeiten und deinem Mut überzeugen. Nur du bist in der Lage noch stärker zu werden und unseren Erzfeind zu besiegen - den Super Black Predator.|Has resistido a la tormenta y nuestro lider ha sigo testigo de tu habilidad y tu coraje. Ahora sólo tú eres capaz de defender nuestro Nemesis- El predator Super Black|당신은 폭풍을 견뎌하고 우리 클랜의 리더는 이제 당신의 기술과 용기를 목격했다. 슈퍼 블랙 프레데터 - 오직 당신 만이 지금 단계와 우리의 네메시스을 이길 수 있습니다.|あなたは嵐に耐えていると私たちの一族のリーダーは今あなたのスキルと勇気を目撃しています。スーパーブラックプレデター - あなただけが今ステップアップし、我々のネメシスを倒すことができます。|
|MISSION_DESCRIPTION_4|Human prey are dangerous fighters; defend yourself and strike quickly when they are weakened. They will soon learn that resistance is futile.|Les proies humaines sont de solides combattants, défendez-vous et ripostez quand ils sont affaiblis. Ils sauront bientôt que toute résistance est futile.|Le prede umane sono dei combattenti solidi; difenditi e colpiscili quando sono indeboliti. In breve tempo, capiranno che resistere è inutile.|Menschliche Beute kämpft gefährlich; verteidige dich gut und schlage schnell zurück, wenn sie geschwächt ist. Sie merkt bald, dass Widerstand zwecklos ist.|Las presas humanas representan a luchadores fuertes; defiéndete y devuelve los golpes rápidamente cuando estén debilitados. Pronto aprenderán que la resistencia es inútil.|인간의 먹이 위험 전투기, 자신을 변호하고이 약화 될 때 빠르게 공격. 그들은 곧 저항은 무의미하다 것을 배우게됩니다.|人間の獲物は危険な戦闘機であり、自分自身を守るため、それらが弱体化されたときにすぐに打つ。彼らはすぐに抵抗が無益であることを学びます。|
|MISSION_DESCRIPTION_5|Don't let the humans escape from your grip. Impale them and slice them apart on the spot.|Ne laissez pas les humains vous échapper. Empalez-les et découpez-les.|Non permettere agli umani di sfuggire alla tua presa. Trafiggili e tagliali sul posto.|Lass die Menschen nicht aus deinen Fängen entkommen. Spieße sie auf und schneide sie direkt vor Ort auseinander.|No permitas que los humanos escapen de tu empuñadura. Atraviésalos y córtalos en dos ahí mismo.|인간이 당신의 그립에서 탈출하지 않습니다. 그들을 꿰 뚫기 그 자리에 떨어져 그들을 슬라이스.|人間があなたのグリップから脱出させてはいけない。それらを突き刺すと、その場でそれらを離れてスライスする。|
|MISSION_DESCRIPTION_6|Prove your abilities to the clan by collecting the heads of your opponents. Amass the heads of five humans.|Prouvez votre talent au clan en amassant la tête de vos proies. Rapportez la tête de cinq humains.|Mostra le tue abilità al clan collezionando teste dei tuoi nemici.Ottieni cinque teste umane.|Beweise dem Clan dein Können und sammle die Köpfe deiner Gegner. Sammle fünf Menschenköpfe an.|Prueba tus habilidades para el clan acumulando las cabezas de tus oponentes. Reúne las de cinco humanos.|상대의 머리를 수집하여 일족의 능력을 증명한다. 다섯 사람의 머리를 쌓다.|あなたの対戦相手の頭を収集することにより、一族にあなたの能力を証明する。 5人間の頭を蓄積。|
|MISSION_DESCRIPTION_7|Night has descended and the humans believe the darkness gives them an advantage. Put your speed and power to the test by killing as many humans as possible before dawn. Their attacks will be relentless.|humains possible avant l'|oscurità offra loro un vantaggio. Metti alla prova la tua velocità e potenza uccidendo più esseri umani possibili prima dell'|Die Nacht ist hereingebrochen und die Menschen glauben sich durch die Dunkelheit im Vorteil. Stelle deine Geschwindigkeit und Kraft auf die Probe, indem du so viele Menschen wie möglich vor Tagesanbruch tötest. Ihre Angriffe werden schonungslos sein.|Ha llegado la noche y los humanos creen que la oscuridad les da una ventaja. Pon tu velocidad y potencia a prueba matando tantos humanos como sea posible antes del amanecer. Sus ataques serán implacables.|밤 내려하고 인간은 어둠이 그들에게 이점을 제공 믿습니다. 새벽이되기 전에 가능한 한 많은 사람을 죽이는 시험 당신의 속도와 힘을 넣어. 그들의 공격은 집요 될 것입니다.|夜が降りており、人間は闇が彼らに優位性を与えると信じています。夜明け前に、できるだけ多くの人間を殺すことによってテストするためのスピードとパワーを入れて。彼らの攻撃は執拗になります。|
|MISSION_DESCRIPTION_8|Surprise is your mightiest weapon. Use your stealth generator to become invisible. Stalk your prey at close quarters and remain undetected.|Votre arme la plus puissante est la surprise. Utilisez votre système de camouflage pour vous cacher. Employez-le pour suivre vos proies de près sans être détecté.|La tua arma maggiore è l'effetto sorpresa. Utilizza il generatore di invisibilità per nasconderti. Segui la tua preda umana da vicino senza essere scoperto.|DeinesStärkste Waffe ist die Überraschung. Nutze den Tarngenerator, um unsichtbar zu werden. Schleiche dich so unerkannt an die Quartiere deiner menschlichen Beute.|Tu arma más potente es la sorpresa. Utiliza tu generador de cautela para llegar a ser invisible. Acecha a tu presa de cerca y que no te detecten.|서프라이즈는 가장 강한 무기입니다. 보이지 않게하기 위해 스텔스 생성기를 사용합니다. 스토킹의 가까운 내무반에서 먹이를 들키지 남아있다.|サプライズはあなたの最強の武器である。見えなくなるためにあなたのステルスジェネレータを使用してください。茎は、接近戦での獲物と検出されないまま。|
|MISSION_DESCRIPTION_9|Test your aim. The humans have long range weapons so you will need to kill them from a distance. Use your cannon to take them out before they get too close.|armes à longue portée, vous devrez donc les tuer de loin. Utilisez votre canon avant qu'|Metti alla prova la tua precisione. Gli umani hanno delle armi a largo raggio, così dovrai ucciderli a distanza. Utilizza il tuo cannone per eliminarli prima che si avvicinino troppo. |Teste deine Zielsicherheit. Die Menschen haben Fernkampfwaffen, so dass du sie aus weiter Entfernung töten musst. Nutze deine Kanone, um sie auszuschalten, bevor sie dir zu Nahe kommen.|Pon a prueba tu puntería. Los humanos tienen armas de largo alcance así que necesitarás matarlos desde lejos. Utiliza tu cañón para eliminarlos antes de que se acerquen demasiado.|당신의 목표를 테스트합니다. 당신이 거리에서 그들을 죽일 필요합니다 그래서 인간은 장거리 무기가있다. 그들은 너무 가까이 전에 그들을 데리고 귀하의 대포를 사용합니다.|あなたの目標をテストします。あなたは遠くからそれらを殺す必要がありますので、人間は長距離武器を持っている。彼らはあまりにも近くに得る前にそれらを取るためにあなたの大砲を使用してください。|
|MISSION_DESCRIPTION_SURVIVAL_1|Test your skills with an ultimate survival level|Vous avez maintenant suffisamment d'expérience pour chasser plus de proies. Faites un vrai carnage, ne laissez personne derrière vous.|Ora sei sufficientemente esperto per cercare altre prede. Partecipa al massacro infinito e non lasciare nessuno vivo.|Du hast jetzt genug erlebt, um weitere Beute aufzuspüren. Betrete die ewige Schlacht und verschone niemanden.|Ya has experimentado lo suficiente como para buscar más presas. Entra en la matanza sin fin y no dejes a nadie atrás.|궁극적 인 생존 수준의 실력을 테스트|究極のサバイバルレベルであなたのスキルをテスト|
|MISSION_DESCRIPTION_SURVIVAL_2|The hunts never end. Fresh prey is always coming. As a predator, you must perfect your skills and evolve into the ultimate hunter.|La chasse est sans fin. Les proies fraîches apparaîssent à chaque coin. Perfectionnez vos compétences et d'évoluer vers le chasseur ultime.|La caccia è senza fine. Nuovi nemici appaiono dietro ogni angolo. Perfeziona le tue abilità e diventa un cacciatore di primo livello.|Die Jagd ist niemals zu ende. Frische Beute taucht überall auf. Perfektioniere deine Fähigkeiten und werde zum ultimativen Jäger.|La caza es interminable. Presas frescas aparecen en cada esquina. Perfecciona tus habilidades y conviértete en el cazador final.|결코 끝나지 사냥. 신선한 먹이 항상오고있다. 육식 동물로, 당신은 당신의 능력을 완벽하게해야하며, 궁극적 사냥꾼으로 진화.|決して終わらない狩り。新鮮な獲物は必ず来ています。捕食者として、あなたはあなたのスキルを完璧にする必要があり、究極のハンターへと進化。|
|MISSION_FAILED|MISSION FAILED|MISSION ÉCHOUÉ|MISSIONE FALLITA|MISSION VERSAGT|MISIÓN FALLIDA|미션 실패|ミッションが失敗した|
|MISSION_LITE_TIP_DASH_JUMP|Running + B = Dash Jump|Courez + B = Attaque Sautée|Corsa + B = Salto Veloce|Laufen + B = Angriffssprung|Corras + B = Salto de Choque|실행 + B = 대쉬 점프|ランニング+ B =ダッシュジャンプ|
|MISSION_LITE_TIP_KILL_NIKOLAI|Kill 5 enemies with the disc and Nikolai will emerge. Dispose of him with honor.|Tuez 5 ennemis avec le disque et Nikolai se montrera. Tuez-le honorablement.|Uccidi 5 nemici con il Disco e Nikolai si farà vivo. Sbarazzatene con onore.|Töte 5 Feinde mit der Disk und Nikolai wird erscheinen. Entledige dich seiner mit Würde.|Mata 5 enemigos con el Disco y Nikolai aparecerá. Deshazte de el con honor.|디스크 5 명을 죽이고 니콜라이가 나타날 것입니다. 명예와 그 폐기하십시오.|ディスクで5人の敵を殺すとニコライが出てくる。名誉をもって彼を処分。|
|MISSION_LITE_TIP_TROPHY_KILL|Harvest the head of your foe for greater honor. \n\n Grab + A + A = Trophy Kill|Prenez la tête de votre ennemi pour gagner plus de points d'honneur. Pour prendre la tête d'une proie : Attraper + A + A|Raccogli la testa del tuo nemico per l'onore più grande. Afferra + A + A = Uccisioni da trofeo|Sammle die Köpfe deiner Feinde für noch mehr Ehre. Sammle die  Trophäe, indem du Greifen + A + A drückst.|Planta la cabeza de tu enemigo para mayor gloria. Recoge un trofeo así: Grab + A + A|큰 명예를 위해 원수의 머리를 수확. \ N \ N 잡아 + + A = 트로피 킬|大きい名誉のためにあなたの敵の頭を収穫。 \ nは\ nのグラブ+ A + A =トロフィーキル|
|MISSION_STORY_AFTER23|No enemy is more lethal than our own kind. The Berserker Predators have vowed to exterminate our clan. We must defeat them or die!|est plus dangereux que notre propre espèce. Les Predators Berserker ont promis d'|Nessun nemico è più letale di chi appartiene alla nostra specie. I Berserker Predator hanno giurato di sterminare il nostro clan. Dobbiamo sconfiggerli o moriremo!|Kein Gegner ist tödlicher, als unsere eigene Spezies. Die Berserker-Predators haben geschworen, unseren Clan auszulöschen. Wir müssen sie vernichten oder selbst zugrunde gehen!|Ningún enemigo es más letal que nuestra propia especie. El Predator Berserker ha prometido acabar con nuestro clan. ¡Debemos derrotarlos o morir!|더 적은 우리 자신의 종류보다 더 치명적입니다. 버서커 프레데터는 우리 일족을 없애기 위해 맹세했다. 우리는 그들을 물리 칠하거나 죽어야한다!|いいえ敵は我々自身の種よりも致命的ではありません。バーサーカーの捕食者は、私たちの一族を根絶すると誓った。我々はそれらを無効にしたり、死ななければならない！|
|MISSION_TITLE_1|Mission 1: First Blood|Mission 1: Premier Sang|Missione 1: Primo sangue|Mission 1: Erstes Blut|Misión 1: Primera herida|미션 1 : 첫 번째 피|ミッション1：ランボー|
|MISSION_TITLE_10|Mission 10: Revenge Kill - Stans|Mission 10: Stans|Missione 10: Stans|Mission 10: Rachejagd - Stans|Misión 10: Stans|미션 10 : 복수 킬 - 슈 탄스를|ミッション10：復讐キル - シュタンス|
|MISSION_TITLE_11|Mission 11: Slaughter|Mission 11: Massacre|Missione 11: Massacro|Mission 11: Schlachtfest|Misión 11: Masacre|미션 11 : 도축|ミッション11：スローター|
|MISSION_TITLE_12|Mission 12: Killing Storm|Mission 12: Tempête mortelle|Missione 12: Tempesta di omicidi|Mission 12: Todessturm|Misión 12: Tormenta de matanza|미션 12 : 킬링 폭풍|ミッション12：キリング·ストーム|
|MISSION_TITLE_13|Mission 13: Revenge Kill - Royce|Mission 13: Royce|Missione 13: Royce|Mission 13: Rachejagd - Royce|Misión 13: Royce|미션 13 : 복수 킬 - 로이스|ミッション13：リベンジキル - ロイス|
|MISSION_TITLE_14|Mission 14: Bloodbath|Mission 14: Bain de sang|Missione 14: Bagno di sangue|Mission 14: Blutbad|Misión 14: Baño de sangre|미션 14 : 잠긴|ミッション14：大虐殺|
|MISSION_TITLE_15|Mission 15: Shadow|Mission 15: Ombre|Missione 15: Ombra|Mission 15: Schatten|Misión 15: Sombra|미션 15 : 그림자|ミッション15：シャドウ|
|MISSION_TITLE_16|Mission 16: Spin Blade|Mission 16: Lame Tournante|Missione 16: Lama Rotante|Mission 16: Drehklingen|Misión 16: Espada giratoria|미션 16 : 회전 블레이드|ミッション16：スピンブレード|
|MISSION_TITLE_17|Mission 17: Duel|Mission 17: Duel|Missione 17: Duello|Mission 17: Zweikampf|Misión 17: Duelo|미션 17 : 결투|ミッション17：デュエル|
|MISSION_TITLE_18|Mission 18: Night Sight|Mission 18: Vision nocturne|Missione 18: Visione notturna|Mission 18: Nachtsicht|Misión 18: Vista nocturna|미션 18 : 밤 시야|ミッション18：夜間の視力|
|MISSION_TITLE_19|Mission 19: Death Squad|Mission 19: L'escouade de la mort|Missione 19: Squada Mortale|Mission 19: Todesschwadron|Misión 19: Blanco|미션 19 : 죽음의 분대|ミッション19：デス·スクワッド|
|MISSION_TITLE_2|Mission 2: Death Blow|Mission 2: Coup Mortel|Missione 2: Colpo mortale|Mission 2: Todesstoß|Misión 2: Golpe mortal|미션 2 : 죽음 불어|ミッション2：死ブロー|
|MISSION_TITLE_20|Mission 20: Ruthless|Mission 20: Impitoyable|Missione 20: Senza pietà|Mission 20: Skrupelos|Misión 20: Despiadado|미션 20 : 획득|ミッション20：冷酷|
|MISSION_TITLE_21|Mission 21: Bullet Storm|Mission 21: Pluie de balles|Missione 21:Tempesta di proiettili|Mission 21: Kugelhagel|Misión 21: Tormenta de balas|미션 21 : 총알의 폭풍|ミッション21：弾丸の嵐|
|MISSION_TITLE_22|Mission 22: United Offensive|Mission 22: Offensive unie|Missione 22: Offensiva Unita|Mission 22: Vereinter Angriff|Misión 22: Ofensiva unida|미션 22 : 미국 공세|ミッション22：ユナイテッドオフェンシブ|
|MISSION_TITLE_23|Mission 23: Kill Noland|Mission 23: Tuez Noland|Missione 23: Uccidi Noland|Mission 23: Töte Noland|Misión 23: Mata a Noland|미션 23 : 킬 놀 랜드|ミッション23：キルノーランド|
|MISSION_TITLE_24|Mission 24: Predator Dogs|Mission 24: Prédateur Chiens|Missione 24: Predator Segugio|Mission 24: Predator Hunde|Misión 24: Sabuesos Predator|미션 24 : 프레데터 개|ミッション24：プレデター犬|
|MISSION_TITLE_25|Mission 25: Tracker Predator|Mission 25: Prédateur Tracker|Missione 25: Predator Perlustratore|Mission 25: Tracker-Predator|Misión 25: Predator Seguidor|미션 25 : 트래커 프레데터|ミッション25：トラッカープレデター|
|MISSION_TITLE_26|Mission 26: Whiplash|Mission 26: Coup de fouet|Missione 26: La frusta|Mission 26: Peitschenhieb|Misión 26: Latigazo|미션 26 : 괜찮아?|ミッション26：むち打ち症|
|MISSION_TITLE_27|Mission 27: Wings of Death|Mission 27: Les ailes de la mort|Missione 27: Ali della morte|Mission 27: Schwingen des Todes|Misión 27: Alas de la muerte|미션 27 : 죽음의 날개|ミッション27：死の翼|
|MISSION_TITLE_28|Mission 28: Tusk and Talons|Mission 28: Défenses et griffes|Missione 28: Zanne e artigli|Mission 28: Fangzahn und Kralle|Misión 28: Colmillo y garra|미션 28 : 엄​​니와 발톱|ミッション28：牙とタロン|
|MISSION_TITLE_29|Mission 29: Divide and Conquer|Mission 29: Divisez et conquérir|Missione 29: Dividi e conquista|Mission 29: Teile und herrsche|Misión 29: Divide y vencerás|미션 29 : 분할과 정복|ミッション29：分割統治|
|MISSION_TITLE_3|Mission 3: Lightning Strike|Mission 3: Frappe éclair|Missione 3: Fulmine|Mission 3: Blitzeinschlag|Misión 3: Ataque relámpago|미션 3 : 낙뢰|ミッション3：ライトニングストライク|
|MISSION_TITLE_30|Mission 30: Protect The Clan Leader|Mission 30: Protéger le Chef de Clan|Missione 30: Proteggi Il Leader Del Clan|Mission 30: Beschütze den Clan-Führer|Misión 30: Proteger el líder del clan|미션 30 : 클랜 리더를 보호|ミッション30：クランリーダーを守る|
|MISSION_TITLE_31|Mission 31: Berserker|Mission 31: Berserker|Missione 31: Furia Feroce|Mission 31: Berserker|Misión 31: Berserker|미션 31 : 광전사|ミッション31：バーサーカー|
|MISSION_TITLE_4|Mission 4: Crush Resistance|Mission 4: Ecrasez toute résistance|Missione 4: Resistenza agli scontri|Mission 4: Breche den Widerstand|Misión 4: Destroza la resistencia|미션 4 : 으깸 저항|ミッション4：クラッシュ抵抗|
|MISSION_TITLE_5|Mission 5: Impale & Slice|Mission 5: Empalez et tranchez|Missione 5: trafiggi e taglia|Mission 5: Aufspießen & Schneiden|Misión 5: Atravesar y cortar|미션 5 : 꿰 뚫기 및 슬라이스|ミッション5：突き刺す＆スライス|
|MISSION_TITLE_6|Mission 6: Trophy Kill|Mission 6: Rapportez un trophée|Missione 6: Omicidio da trofeo|Mission 6: Trophäenjagd|Misión 6: Matanza de trofeo|미션 6 : 트로피 킬|ミッション6：トロフィーキル|
|MISSION_TITLE_7|Mission 7: Onslaught|Mission 7:  Attaque Nocturne|Missione 7: Attacco violento|Mission 7: Angriff|Misión 7:  Matanza|미션 7 : 맹공|ミッション7：オンスロート|
|MISSION_TITLE_8|Mission 8: Silent Death|Mission 8: Mort Furtive|Missione 8: Morte silenziosa|Mission 8: Stiller Tod|Misión 8: Muerte silenciosa|미션 8 : 자동 죽음|ミッション8：サイレント死|
|MISSION_TITLE_9|Mission 9: Firepower|Mission 9: Puissance de feu|Missione 9: Potenza di fuoco|Mission 9: Feuerkraft|Misión 9: Potencia de fuego|미션 9 : 화력|ミッション9：火力|
|MISSION_TITLE_SURVIVAL_1|Ultimate Survival|Mode survie|Sopravvivenza|Überlebensmodus|Supervivencia|궁극적 인 생존|究極のサバイバル|
|MISSION_TITLE_SURVIVAL_2|Ultimate Wave Attack|Attaque Ultime de Vague|Attacco Onda Finale|Ultimative Wave Attacke|Ataque Ultimate Wave|궁극의 웨이브 공격|究極のウェーブアタック|
|MISSION1_TIP_HEALTH_BAR|This your health bar. When you are safe, it regenerates|Ceci est votre barre de santé. Elle se régénère quand vous êtes en sécurité.|Questa è la barra che indica il tuo stato. Quando sei al sicuro, si rigenera.|Dies ist deine Gesundheitsanzeige. Wenn du in Sicherheit bist, erneuert sie sich.|Ésta es tu barra de salud. Cuando estás a salvo se regenera.|이 당신의 건강 바. 당신이 안전 할 때 다시 생성|これはあなたのヘルスバー。あなたが安全であるときは、再生する|
|MISSION1_TIP_KILL_5|Soak your wristblades in the blood of 10 prey|Trempez vos lames de poignet dans le sang de 10 proies.|Bagna le tue lame col sangue di 10 prede.|Bade deine Handgelenk-Klingen im Blut von 10 Opfern.|Empapa tus puñales de muñeca en la sangre de 10 presas.|10 먹이의 피에 wristblades를 적시|10獲物の血であなたwristbladesソーク|
|MISSION1_TIP_LIGHT_ATTACK|Perform a swift light attack with your wrist blades by pressing button A.|Faites une attaque rapide avec votre lame de poignet en appuyant sur le bouton A.|Esegui un rapido attacco con le lame del polso premendo il tasto A.|Drücke den A Button, um einen schnellen leichten Angriff mit deinen Handgelenk-Klingen durchzuführen.|Realiza un ataque ligero rápido con tus puñales de muñeca pulsando el botón A.|버튼을 눌러 A.하여 손목 블레이드와 신속한 가벼운 공격을 수행|ボタンAを押すことによって、あなたの手首のブレードを迅速光攻撃を行う|
|MISSION1_TIP_MOVE|Use the left stick to move around.|Utilisez le joystick gauche pour vous deplacer.|Utilizza il bastone sinistro per spostarti|Nutze den linken Stick, um dich zu bewegen.|Utiliza el stick izquierdo para moverte.|이동하려면 왼쪽 스틱을 사용합니다.|周りに移動するには左スティックを使用してください。|
|MISSION10_TIP_COMBI_STICK_UNLOCKED|Switch to combi stick by pressing the melee weapon slot|Utilisez le combi stick en touchant l'icône d'arme de mêlée.|Attiva il combi stick premendo sull'icona dell'arma|Wechsel zum Combi-Stick, indem du auf das Symbol für Nahkampfwaffen drückst.|Cambia a combi stick presionando el icono de arma cuerpo a cuerpo|근접 무기 슬롯을 눌러 콤비 스틱으로 전환|近接武器スロットを押すことにより、コンビスティックに切り替え|
|MISSION10_TIP_KILL_STANS|Fresh and challenging prey for you. He is a predator on his planet. Draw Stans close by killing 30 humans.|Une nouvelle proie pour vous exercer. Attirez Stans en tuant 30 humains.|Una preda fresca e impegnativa per te. Sul suo pianeta, lui è un predatore. Raggiungilo uccidendo 30 umani. |Eine frische und herausfordernde Beute für dich. Ziehe Stans herbei, indem du 30 Menschen tötest.|Una presa fresca y exigente para ti. Es un depredador en su planeta. Mata al convicto.|당신을위한 신선한 도전 먹이. 그는 행성의 포식자이다. 30 인간을 죽이고 주변 탄스을 그립니다.|あなたのために新鮮でやりがい獲物。彼は地球上の捕食者である。 30人間を殺すことによって近いスタンスを描画します。|
|MISSION10_TIP_THERMAL_VISION|Press button T to activate Thermal Vision. This will assist you in locating and targeting the prey easier.|Appuyez sur le bouton T pour activer la vision thermique qui vous aidera à localiser votre proie.|Premi il pulsante T per attivare la Visione termica, che ti consentirà di localizzare più facilmente la preda.|Drücke Taste T, um auf Wärmesicht umzuschalten. Sie hilft dir, die Beute zu lokalisieren.|Pulsa el botón T para activar la Visión Térmica, esto te ayudará a localizar la presa.|열 비전을 활성화합니다 버튼 T. 이 위치와 먹이를 쉽게 타겟팅에 도움을 줄 것입니다.|サーマルビジョンをアクティブにするTボタンを押してください。これは獲物を簡単に探し、ターゲットであなたを支援します。|
|MISSION11_TIP_KILL_20|Slaughter 20 of them with the combi stick.|Massacrez 20 humains avec le Combistick.|Massacrane 20 di loro con il Combistick.|Schlachte 20 von ihnen mit dem Combi Stick.|Mata a 20 de ellos con el Combi Stick.|콤비 스틱 도살 그 중 20.|コンビ棒でそれらの虐殺20。|
|MISSION12_TIP_SURVIVE_5_WAVES|Survive all 5 of their pathetic hunting sprees|Survivez à 5 expéditions de chasse des humains.|Sopravvivi a tutti i 5 patetici tentativi di cacciarti.|Überlebe jeden ihrer 5 erbärmlichen Jagdversuche|Sobrevive a 5 de sus patéticas partidas de caza.|자신의 한심한 사냥 sprees의 모든 5 살아남을|彼らの哀れな狩猟派手すべての5生き残る|
|MISSION13_TIP_KILL_ROYCE|Worthy prey. He appears to be the leader. Draw Royce in by killing 30 enemies.|Une proie de choix. Il semble être leur chef. Attirez Royce en tuant 30 ennemis.|Una preda importante. Sembra essere il leader. Attira Royce uccidendo 30 nemici.|Würdige Beute. Er scheint der Anführer zu sein. Bereite Royce ein Ende und töte 30 Feinde.|Presa digna. Parece que es el líder. Mata a Royce con honor matando 30 enemigos.|가치있는 먹이. 그는 리더가 나타납니다. 30 원수를 죽이고있는 로이스을 그립니다.|立派な獲物。彼はリーダーであるように思われる。 30人の敵を殺すことでロイスを描画します。|
|MISSION14_TIP_KILL_10|Trap 10 enemies with the netgun and take their heads as trophies.|Tuez 10 ennemis avec le fusil à filet et prenez leur tête comme trophée.|Metti in trappola 10 nemici con la pistola lanciarete e conserva le loro teste come trofeo.|Fange 10 Feinde mit der Netzkanone ein und sammle ihre Köpfe als Trophäen ein.|Atrapa 10 enemigos con la arma de red y toma sus cabezas como trofeos.|netgun로 10 명의 적을 함정과 트로피로 자신의 머리를 가져 가라.|netgunで10の敵をトラップし、トロフィーのように頭を取る。|
|MISSION14_TIP_NETGUN_TOGGLE|Switch to netgun by pressing the ranged weapon, key 2|icône d'|icona dell'|Wechsel zur Netzkanone, indem du auf das Waffensymbol drückst.|Cambiar a arma de red pulsando el icono de arma de distancia|원거리 무기, 키 2를 눌러 netgun로 전환|遠隔武器、キー2を押してnetgunに切り替え|
|MISSION14_TIP_NETGUN_TRAP_5_WITH_NETGUN|Trap 10 enemies with the netgun and take their heads as trophies.|Tuez 10 ennemis avec le fusil à filet et prenez leur tête comme trophée.|Metti in trappola 10 nemici con la pistola lanciarete e conserva le loro teste come trofeo.|Fange 10 Feinde mit der Netzkanone ein und sammle ihre Köpfe als Trophäen ein.|Atrapa 10 enemigos con la arma de red y toma sus cabezas como trofeos.|netgun로 10 명의 적을 함정과 트로피로 자신의 머리를 가져 가라.|netgunで10の敵をトラップし、トロフィーのように頭を取る。|
|MISSION15_TIP_DISK_TOGGLE|Switch to the disc by pressing the ranged weapon key 2|icône d'|icona dell'|Wechsel zur Disk, indem du auf das Waffensymbol drückst.|Cambia a disco presionando el icono de arma de alcance|원거리 무기 키 2를 눌러 디스크로 전환|遠隔武器キー2を押して、ディスクに切り替え|
|MISSION15_TIP_KILL_10_ISOLATION|Do 15 stealth kills without getting detected.|15 morts furtives sans être détecté.|Esegui 15 omicidi nascosti senza farti scoprire|Übe 15 heimliche Angriffe aus, ohne entdeckt zu werden.|Realiza 15 matanzas furtivas sin que te detecten.|감지받지 않고 15 스텔스 킬을 수행합니다.|15ステルスは、検出されたことなく殺すようにしてください。|
|MISSION16_TIP_KILL_2_ENEMIES_WITH_ONE_DISK_SHOT|Do 5 Double Splices by killing 2 enemies at the same time with the disc.|Tuez 5 fois 2 ennemis en même temps avec le disque.|Fai 5 Doppie Giunture uccidendo 2 nemici contemporaneamente con il Disco.|Führe 5 Doppelspleißungen aus, indem du zwei Feinde gleichzeitig mit der Disk tötest.|Haz 5 empalmes dobles matando a 2 enemigos al mismo tiempo con el Disco.|디스크에서 동시에 2 적을 죽이는 5 더블 스플 라이스을 수행합니다.|ディスクで同時に2つの敵を殺すことによって5ダブルスプライスを行います。|
|MISSION16_TIP_KILL_ENEMIES_WITH_DISC|Kill 20 of them with the disc.|Tuez 20 ennemis avec le disque.|Uccidi 20 nemici con il Disco.|Töte 20 Feinde mit der Disk.|Mata 20 enemigos con el Disco.|디스크와 함께 20 개를 죽이십시오.|ディスクとのそれらの20を殺す。|
